product_id,product_name,category,subcategory,brand,unit_cost,unit_price,launch_date
129,Pottery Barn Modern Dressers,Furniture,Dressers,Pottery Barn,1066.72,1531.37,2022-10-22
130,Tommy Hilfiger Slim T-Shirts,Clothing,T-Shirts,Tommy Hilfiger,137.45,235.42,2022-10-01
131,West Elm Classic Office Chairs,Furniture,Office Chairs,West Elm,96.09,148.05,2021-04-25
132,Samsung Smartwatches Mini,Electronics,Smartwatches,Samsung,937.57,1413.21,2019-01-21
133,Adidas Dumbbells Pro,Sports,Dumbbells,Adidas,52.43,89.96,2022-01-24
134,Calvin Klein Classic Boots,Clothing,Boots,Calvin Klein,108.36,205.27,2020-04-30
135,KitchenAid Washing Machines Elite,Home Appliances,Washing Machines,KitchenAid,159.7,237.12,2021-08-09
136,Lenovo Smart TVs Max,Electronics,Smart TVs,Lenovo,273.25,349.82,2023-06-13
137,H&M Sport Dresses,Clothing,Dresses,H&M,57.19,131.29,2023-02-05
138,Pottery Barn Classic Beds,Furniture,Beds,Pottery Barn,706.85,1076.37,2019-08-04
139,Apple Gaming Consoles Mini,Electronics,Gaming Consoles,Apple,342.5,492.22,2019-06-16
140,West Elm Classic Nightstands,Furniture,Nightstands,West Elm,80.61,112.13,2022-12-13
141,KitchenAid Vacuum Cleaners 2000,Home Appliances,Vacuum Cleaners,KitchenAid,225.05,303.65,2024-05-03
142,IKEA Modern Coffee Tables,Furniture,Coffee Tables,IKEA,402.75,645.72,2022-01-11
143,KitchenAid Microwaves Elite,Home Appliances,Microwaves,KitchenAid,79.72,108.43,2019-07-08
144,Cuisinart Vacuum Cleaners Elite,Home Appliances,Vacuum Cleaners,Cuisinart,633.64,938.49,2023-09-02
145,Maytag Vacuum Cleaners 2000,Home Appliances,Vacuum Cleaners,Maytag,52.41,81.2,2020-09-16
146,HP Smart TVs Ultra,Electronics,Smart TVs,HP,1011.25,1497.73,2022-04-02
147,KitchenAid Smart Air Conditioners,Home Appliances,Air Conditioners,KitchenAid,533.89,777.57,2021-07-25
148,Bowflex Sport Golf Clubs,Sports,Golf Clubs,Bowflex,106.8,198.16,2019-09-29
149,Maybelline Radiance Skincare Sets,Beauty,Skincare Sets,Maybelline,23.74,49.48,2023-05-29
150,L'Oreal Luxe Hair Dryers,Beauty,Hair Dryers,L'Oreal,4.68,11.93,2023-10-25
151,Bowflex Golf Clubs Pro,Sports,Golf Clubs,Bowflex,501.49,885.1,2021-09-27
152,Wayfair Loft Sofas,Furniture,Sofas,Wayfair,917.57,1433.91,2022-01-08
153,Bosch Microwaves Elite,Home Appliances,Microwaves,Bosch,424.81,663.79,2021-12-27
154,Levi's Essential Jackets,Clothing,Jackets,Levi's,118.81,219.54,2022-01-16
155,Bosch Refrigerators Elite,Home Appliances,Refrigerators,Bosch,931.72,1487.45,2023-04-09
156,Samsung Gaming Consoles Ultra,Electronics,Gaming Consoles,Samsung,789.03,1030.63,2022-08-04
157,IKEA Heritage Beds,Furniture,Beds,IKEA,99.48,159.41,2020-10-27
158,Tommy Hilfiger Essential Jackets,Clothing,Jackets,Tommy Hilfiger,95.59,238.14,2023-07-14
159,Bose Gaming Consoles Ultra,Electronics,Gaming Consoles,Bose,1378.98,1827.34,2020-08-23
160,Under Armour Slim Jeans,Clothing,Jeans,Under Armour,115.14,243.15,2021-07-31
161,Adidas Sport Yoga Mats,Sports,Yoga Mats,Adidas,18.61,33.86,2020-03-08
162,Nike Hiking Backpacks Pro,Sports,Hiking Backpacks,Nike,648.06,1242.67,2019-03-25
163,Zara Sport Jeans,Clothing,Jeans,Zara,83.76,201.2,2019-05-27
164,Maybelline Radiance Shampoos,Beauty,Shampoos,Maybelline,29.74,98.53,2020-08-04
165,Hamilton Beach Microwaves Elite,Home Appliances,Microwaves,Hamilton Beach,542.51,859.41,2022-03-11
166,Sony Headphones Lite,Electronics,Headphones,Sony,233.06,288.54,2023-05-29
167,Sony Cameras Series X,Electronics,Cameras,Sony,434,580.65,2021-10-11
168,GE Refrigerators 2000,Home Appliances,Refrigerators,GE,427.42,614.69,2019-03-17
169,Lenovo Smart TVs Ultra,Electronics,Smart TVs,Lenovo,559.04,707.04,2022-02-27
170,Ashley Heritage Coffee Tables,Furniture,Coffee Tables,Ashley,1176.84,1713.21,2023-04-23
171,Apple Laptops Mini,Electronics,Laptops,Apple,597.13,850.3,2023-07-27
172,Ashley Classic Nightstands,Furniture,Nightstands,Ashley,859.26,1159.53,2024-07-12
173,Revlon Glow Nail Polish,Beauty,Nail Polish,Revlon,62.07,121.55,2020-11-07
174,Hamilton Beach Microwaves Plus,Home Appliances,Microwaves,Hamilton Beach,184.14,281.67,2021-11-10
175,Canon Laptops Series X,Electronics,Laptops,Canon,967.1,1298.44,2020-06-26
176,Calvin Klein Premium Jackets,Clothing,Jackets,Calvin Klein,34.21,92.17,2023-02-13
177,Pottery Barn Classic Bookshelves 677,Furniture,Bookshelves,Pottery Barn,786.31,1265.59,2019-05-30
178,Gap Premium Activewear,Clothing,Activewear,Gap,8.1,21.22,2020-04-27
179,L'Oreal Glow Foundations 808,Beauty,Foundations,L'Oreal,19.73,35.96,2020-06-16
180,Under Armour Sport Sweaters,Clothing,Sweaters,Under Armour,68.36,117.89,2019-09-22
181,MAC Nail Polish,Beauty,Nail Polish,MAC,60.53,180.12,2023-05-21
182,Nike Dumbbells 360,Sports,Dumbbells,Nike,779.31,1160.05,2022-11-05
183,Neutrogena Luxe Hair Dryers 413,Beauty,Hair Dryers,Neutrogena,2.7,6.62,2022-04-18
184,Lenovo Gaming Consoles Pro,Electronics,Gaming Consoles,Lenovo,609.19,875.6,2020-01-16
185,Ashley Loft Nightstands 946,Furniture,Nightstands,Ashley,911.22,1366.13,2023-10-07
186,Apple Smartphones Series X,Electronics,Smartphones,Apple,436.44,555.77,2020-02-15
187,La-Z-Boy Heritage Coffee Tables,Furniture,Coffee Tables,La-Z-Boy,737.65,991.71,2022-05-28
188,Frigidaire Blenders Elite,Home Appliances,Blenders,Frigidaire,600.24,821.72,2023-09-19
189,Samsung Smartwatches Lite,Electronics,Smartwatches,Samsung,1064.38,1321.33,2020-12-18
190,Calvin Klein Sport Dresses,Clothing,Dresses,Calvin Klein,27.34,46.43,2021-11-28
191,Whirlpool Washing Machines Plus,Home Appliances,Washing Machines,Whirlpool,402.74,521.2,2022-08-16
192,MAC Luxe Foundations,Beauty,Foundations,MAC,6.1,13.14,2024-08-30
193,Nike Sport Camping Tents,Sports,Camping Tents,Nike,101.02,179.32,2023-01-28
194,Asus Laptops Ultra,Electronics,Laptops,Asus,50.66,60.7,2024-03-28
195,Calvin Klein Classic Dresses,Clothing,Dresses,Calvin Klein,19.03,34.75,2020-07-31
196,Cuisinart Smart Coffee Makers,Home Appliances,Coffee Makers,Cuisinart,81.02,102.73,2021-07-12
197,Bosch Pro Coffee Makers,Home Appliances,Coffee Makers,Bosch,402.76,550,2022-06-04
198,Ashley Classic Nightstands 685,Furniture,Nightstands,Ashley,901.41,1566.21,2020-05-20
199,Tommy Hilfiger Sport Sneakers,Clothing,Sneakers,Tommy Hilfiger,79.87,184.94,2021-02-06
200,HP Tablets Pro,Electronics,Tablets,HP,341.07,442.6,2020-04-30
201,Apple Smart TVs Ultra,Electronics,Smart TVs,Apple,604.52,800.02,2022-10-19
202,Apple Headphones Mini,Electronics,Headphones,Apple,237.92,325.88,2021-08-17
203,Sony Headphones Mini,Electronics,Headphones,Sony,508,755.14,2024-06-06
204,La-Z-Boy Heritage Coffee Tables 126,Furniture,Coffee Tables,La-Z-Boy,488.48,667.85,2019-12-07
205,Ashley Classic Dining Tables,Furniture,Dining Tables,Ashley,174.08,273.56,2019-06-09
206,Gap Essential Sneakers,Clothing,Sneakers,Gap,20.68,36.42,2021-04-06
207,Crate & Barrel Dressers Set,Furniture,Dressers,Crate & Barrel,284.39,383.47,2020-06-30
208,Sony Tablets Series X,Electronics,Tablets,Sony,250.4,353.28,2024-08-15
209,Coleman Sport Basketballs,Sports,Basketballs,Coleman,320.46,615.07,2024-03-19
210,H&M Premium Activewear,Clothing,Activewear,H&M,13.33,35.74,2022-10-18
211,Bosch Air Conditioners Elite,Home Appliances,Air Conditioners,Bosch,43.92,57.08,2020-04-30
212,Frigidaire Smart Coffee Makers,Home Appliances,Coffee Makers,Frigidaire,303.86,452.91,2023-01-15
213,H&M Premium Sneakers,Clothing,Sneakers,H&M,20.27,36.82,2024-06-08
214,Under Armour Premium Boots,Clothing,Boots,Under Armour,44.59,121.7,2019-10-09
215,West Elm Bookshelves Set,Furniture,Bookshelves,West Elm,346.46,519.49,2019-03-25
216,HP Cameras Lite,Electronics,Cameras,HP,710.74,872.56,2019-08-01
217,Olay Luxe Foundations,Beauty,Foundations,Olay,26.93,75.56,2021-04-09
218,Dell Smartwatches Lite,Electronics,Smartwatches,Dell,257.45,370.58,2022-05-03
219,Levi's Classic Sneakers,Clothing,Sneakers,Levi's,91.98,234.1,2020-04-04
220,Bowflex Basketballs 360,Sports,Basketballs,Bowflex,495.74,938.56,2022-08-18
221,Neutrogena Pure Hair Dryers,Beauty,Hair Dryers,Neutrogena,80.06,188.69,2020-01-05
222,Dyson Pro Coffee Makers 153,Home Appliances,Coffee Makers,Dyson,597.98,757.59,2020-04-12
223,Adidas Sport Jackets,Clothing,Jackets,Adidas,133.68,224.95,2022-09-09
224,Gap Premium Dresses,Clothing,Dresses,Gap,32.71,63.83,2020-01-01
225,Sony Cameras Series X 450,Electronics,Cameras,Sony,1317.97,1587.67,2024-01-20
226,Maybelline Glow Nail Polish,Beauty,Nail Polish,Maybelline,19.4,45.49,2023-08-31
227,Nike Essential Jeans,Clothing,Jeans,Nike,44.75,103.27,2021-12-12
228,Maytag Blenders Elite 440,Home Appliances,Blenders,Maytag,1028.16,1306.33,2022-05-10
229,Dyson Refrigerators Elite 184,Home Appliances,Refrigerators,Dyson,490.21,816.85,2020-11-14
230,Samsung Smartwatches Pro,Electronics,Smartwatches,Samsung,650.77,770.15,2023-07-19
231,Dove Luxe Shampoos,Beauty,Shampoos,Dove,89.61,172.39,2019-03-04
232,Nike Yoga Mats Trail,Sports,Yoga Mats,Nike,551.84,814.75,2020-05-02
233,Tommy Hilfiger Essential Dresses,Clothing,Dresses,Tommy Hilfiger,13.08,28.6,2024-08-06
234,Levi's Premium Dresses,Clothing,Dresses,Levi's,95.31,179.11,2020-10-30
235,Dell Cameras Pro,Electronics,Cameras,Dell,484.32,583.68,2023-10-31
236,Maytag Vacuum Cleaners Elite,Home Appliances,Vacuum Cleaners,Maytag,115.36,169.99,2020-04-13
237,Dell Laptops Max,Electronics,Laptops,Dell,322.17,409.64,2019-03-07
238,Canon Headphones Mini,Electronics,Headphones,Canon,307.78,384.83,2021-05-12
239,Sony Smart TVs Max,Electronics,Smart TVs,Sony,255.26,346.86,2023-02-03
240,Dove Glow Skincare Sets,Beauty,Skincare Sets,Dove,86.19,166.13,2021-09-11
241,Maybelline Pure Nail Polish,Beauty,Nail Polish,Maybelline,61.63,163.31,2022-09-23
242,Nike Slim Jeans,Clothing,Jeans,Nike,143.46,245.79,2019-12-28
243,Levi's Essential Sweaters,Clothing,Sweaters,Levi's,13.83,33.8,2020-12-19
244,Spalding Sport Golf Clubs,Sports,Golf Clubs,Spalding,711.38,1062.1,2022-01-05
245,Adidas Classic Jeans,Clothing,Jeans,Adidas,41.16,77.13,2023-09-03
246,Dell Smartphones Series X,Electronics,Smartphones,Dell,559.24,766.69,2023-05-09
247,Zara Classic Dresses,Clothing,Dresses,Zara,58.66,134.92,2019-01-21
248,Dyson Vacuum Cleaners Plus,Home Appliances,Vacuum Cleaners,Dyson,216.89,296.64,2021-10-18
249,Neutrogena Luxe Nail Polish,Beauty,Nail Polish,Neutrogena,11.62,33.18,2019-10-01
250,Adidas Dumbbells Elite,Sports,Dumbbells,Adidas,556.09,995.21,2019-02-14
251,Lenovo Smartphones Mini,Electronics,Smartphones,Lenovo,1002.25,1237.71,2022-01-13
252,West Elm Bookshelves Set 119,Furniture,Bookshelves,West Elm,831.03,1465.29,2020-12-25
253,Pottery Barn Modern Dining Tables,Furniture,Dining Tables,Pottery Barn,132.58,216.66,2021-08-03
254,L'Oreal Glow Shampoos,Beauty,Shampoos,L'Oreal,55.05,147.71,2020-01-31
255,Gap Classic Shorts,Clothing,Shorts,Gap,63.11,132.44,2021-03-31
256,Gap Sport Dresses,Clothing,Dresses,Gap,49.02,93.03,2019-05-04
257,Canon Headphones Series X,Electronics,Headphones,Canon,185.39,248.55,2024-09-13
258,LG Tablets Pro,Electronics,Tablets,LG,1045.35,1339.26,2022-09-08
259,Bowflex Tennis Rackets Pro,Sports,Tennis Rackets,Bowflex,310.01,443.72,2020-03-06
260,Nike Slim Shorts,Clothing,Shorts,Nike,114.8,214.42,2021-05-27
261,Under Armour Slim Sneakers,Clothing,Sneakers,Under Armour,81.55,174.27,2020-01-22
262,Coleman Tennis Rackets Elite,Sports,Tennis Rackets,Coleman,564.02,928.71,2021-12-31
263,KitchenAid Coffee Makers 2000,Home Appliances,Coffee Makers,KitchenAid,60.97,78.06,2023-10-22
264,Coleman Basketballs Trail,Sports,Basketballs,Coleman,38.53,68.36,2024-05-18
265,Dove Pure Foundations,Beauty,Foundations,Dove,35.32,91.72,2023-02-17
266,Sony Smartwatches Series X,Electronics,Smartwatches,Sony,132.66,187.05,2021-01-19
267,Dove Pure Shampoos,Beauty,Shampoos,Dove,3.3,10.63,2024-08-20
268,The North Face Camping Tents 360,Sports,Camping Tents,The North Face,52.34,77.58,2022-02-04
269,Asus Tablets Ultra,Electronics,Tablets,Asus,739.5,941.78,2023-09-18
270,Canon Smartwatches Max,Electronics,Smartwatches,Canon,305.51,412.62,2024-03-25
271,Columbia Dumbbells 360,Sports,Dumbbells,Columbia,412.17,805.62,2023-09-21
272,Tommy Hilfiger Essential Sweaters,Clothing,Sweaters,Tommy Hilfiger,51.16,88.7,2021-08-09
273,Dell Laptops Series X,Electronics,Laptops,Dell,209.88,316.12,2020-12-30
274,Gap Classic Sneakers,Clothing,Sneakers,Gap,90.29,209.67,2019-06-14
275,Gap Classic Activewear 859,Clothing,Activewear,Gap,32.81,73.22,2022-08-07
276,HP Gaming Consoles Ultra,Electronics,Gaming Consoles,HP,1143.04,1389.28,2023-06-15
277,Bose Smartwatches Lite,Electronics,Smartwatches,Bose,278.7,341.87,2023-04-03
278,Asus Gaming Consoles Lite,Electronics,Gaming Consoles,Asus,1029.03,1246.52,2021-10-26
279,Neutrogena Foundations,Beauty,Foundations,Neutrogena,17.38,46.15,2020-09-14
280,Lenovo Gaming Consoles Mini,Electronics,Gaming Consoles,Lenovo,1202.97,1466.11,2021-03-18
281,Neutrogena Glow Perfumes,Beauty,Perfumes,Neutrogena,36.44,73.42,2022-07-31
282,Levi's Essential Jackets 729,Clothing,Jackets,Levi's,43.75,73.9,2022-02-21
283,H&M Slim T-Shirts,Clothing,T-Shirts,H&M,92.18,198.01,2021-12-06
284,Canon Tablets Mini,Electronics,Tablets,Canon,1016.67,1229.43,2020-03-20
285,Lenovo Cameras Series X,Electronics,Cameras,Lenovo,971.64,1145.59,2023-03-24
286,Tommy Hilfiger Premium Sweaters,Clothing,Sweaters,Tommy Hilfiger,9.88,21.81,2019-09-13
287,Lenovo Cameras Ultra,Electronics,Cameras,Lenovo,935.16,1304.52,2021-04-12
288,West Elm Dressers Set,Furniture,Dressers,West Elm,690,1203.03,2020-05-04
289,Coleman Yoga Mats 360,Sports,Yoga Mats,Coleman,108.92,193.26,2019-07-18
